PA0137-C	PA0153-C	PA0169-C	PA0200-C	PA0214-C	PA0239-C	PA0255-C	PD0490-C	PD0535-C	PD0540-C	PD0541-C	PD0589-C	PD0590-C	PD0592-C	PF0041-C	PF0048-C	PF0069-C	PF0089-C	PF0100-C	PF0107-C	PF0136-C	PF0206-C	PF0221-C	PF0223-C	PF0310-C	PF0347-C	PF0349-C	PF0357-C	PF0370-C	PF0383-C	PF0427-C	PF0433-C	PF0454-C	PF0488-C	PF0510-C	PF0511-C	PF0557-Cx	PF0599-C	PF0615-C	PF0693-C	PF0753-C	PF0794-C	PH0247-C	PH0356-C	PH0469-CW	PH0470-C	PH0523-C	PH0539-C	PH0644-C	PH0686-C	PH0703-C	PH0770-C	PH0776-C	PH0782-C	PH0813-C	PH0821-C	PH0838-C	PH0844-C	PH0851-C	PH0919-C	PH0986-C	PH0991-C	PH1000-C	PH1136-C	PM0071-C	PR0117-C	PR0123-C	PR0155-C	PT0042-C	PT0067-C	PT0087-C	PT0102-C	PT0111-C	PT0129-C	PT0178-C	PT0187-Cx	PT0190-Cx	PT0193-C	PT0204-C	PT0205-Cx	PT0222-Cx	PT0228-Cx	PT0258-C	PT0279-Cx	PT0303-Cx	PV0262-C	PV0320-C	PV0322-C	PV0331-Cx	QC0194-C	QE0423-C	QE0426-C	QE0440-C	QG0194-C	QG0207-C	QG0239-C	QG0284-C	SenT033.08	SenT114.09	SenT137.09
PH0782-C	0.25	0.12	0.2	0.19	0.16	0.14	0.16	0.27	0.18	0.14	0.24	0.19	0.19	0.22	0.18	0.09	0.11	0.15	0.16	0.15	0.19	0.19	0.13	0.15	0.18	0.12	0.11	0.15	0.13	0.2	0.18	0.14	0.2	0.08	0.12	0.19	0.19	0.15	0	0.2	0.12	0.15	0.19	0.24	0.24	0.2	0.24	0.27	0.19	0.28	0.3	0.2	0.2	NA	0.2	0.2	0.27	0.2	0.27	0.21	0.23	0.25	0.17	0.28	0.2	0.26	0.23	0.22	0.17	0.15	0.19	0.17	0.18	0.18	0.22	0.29	0.16	0.18	0.16	0.13	0.2	0.2	0.18	0.15	0.17	0.23	0.24	0.24	0.29	0.16	0.25	0.27	0.25	0.11	0.2	0.16	0.14	0.14	0.2	0.19
PH0813-C	0.23	0.16	0.2	0.24	0.17	0.15	0.19	0.26	0.2	0.17	0.26	0.21	0.23	0.26	0.18	0.13	0.15	0.16	0.14	0.16	0.18	0.18	0.15	0.15	0.18	0.15	0.14	0.15	0.16	0.18	0.18	0.17	0.2	0.14	0.16	0.17	0.17	0.16	0.25	0.19	0.12	0.16	0.24	0.29	0.23	0.19	0.29	0.26	0.24	0.27	0.29	0.25	0.18	0.2	NA	0.22	0.27	0.19	0.26	0.22	0.21	0.23	0.21	0.26	0.2	0.26	0.21	0.18	0.16	0.15	0.18	0.18	0.15	0.19	0.22	0.27	0.17	0.17	0.17	0.17	0.22	0.18	0.16	0.16	0.17	0.21	0.23	0.21	0.33	0.2	0.27	0.3	0.25	0.12	0.22	0.15	0.17	0.18	0.2	0.19
PH0821-C	0.22	0.15	0.2	0.21	0.18	0.14	0.18	0.22	0.16	0.17	0.22	0.18	0.17	0.25	0.18	0.13	0.11	0.13	0.14	0.12	0.18	0.18	0.14	0.14	0.15	0.15	0.14	0.14	0.17	0.2	0.19	0.18	0.21	0.13	0.18	0.2	0.15	0.16	0	0.16	0.12	0.18	0.28	0.2	0.24	0.17	0.23	0.25	0.2	0.21	0.25	0.17	0.12	0.2	0.22	NA	0.24	0.2	0.24	0.17	0.2	0.22	0.19	0.22	0.2	0.28	0.19	0.16	0.18	0.15	0.19	0.16	0.18	0.18	0.21	0.27	0.17	0.19	0.19	0.18	0.21	0.19	0.19	0.16	0.19	0.23	0.24	0.21	0.25	0.15	0.26	0.25	0.25	0.12	0.22	0.13	0.18	0.15	0.17	0.18
PH0838-C	0.27	0.2	0.22	0.23	0.23	0.2	0.23	0.27	0.18	0.21	0.27	0.2	0.24	0.22	0.23	0.15	0.2	0.16	0.18	0.16	0.19	0.19	0.19	0.18	0.17	0.2	0.21	0.2	0.2	0.22	0.22	0.19	0.25	0.18	0.19	0.22	0.19	0.16	0	0.2	0.19	0.19	0.18	0.22	0.24	0.18	0.19	0	0.2	0.2	0.24	0.23	0.18	0.27	0.27	0.24	NA	0.18	0	0.19	0.22	0.21	0.21	0.27	0.21	0.25	0.23	0.24	0.22	0.2	0.19	0.18	0.18	0.19	0.21	0.24	0.21	0.19	0.23	0.19	0.22	0.23	0.18	0.18	0.19	0.22	0.22	0.23	0.25	0.22	0.22	0.22	0.19	0.17	0.23	0.16	0.21	0.19	0.24	0.2
PH0844-C	0.21	0.16	0.16	0.21	0.15	0.14	0.19	0.29	0.19	0.18	0.24	0.19	0.2	0.19	0.17	0.11	0.11	0.09	0.11	0.12	0.17	0.14	0.16	0.14	0.11	0.14	0.16	0.14	0.15	0.17	0.16	0.16	0.21	0.12	0.17	0.16	0.12	0.13	0	0.13	0.12	0.14	0.21	0.24	0.21	0.11	0.25	0.2	0.19	0.19	0.23	0.21	0.15	0.2	0.19	0.2	0.18	NA	0.18	0.21	0.23	0.25	0.17	0.28	0.19	0.25	0.15	0.18	0.17	0.12	0.14	0.16	0.13	0.15	0.19	0.21	0.14	0.12	0.19	0.17	0.2	0.15	0.15	0.14	0.16	0.25	0.26	0.27	0.3	0.18	0.3	0.23	0.26	0.12	0.18	0.1	0.17	0.16	0.15	0.16
PH0851-C	0.26	0.19	0.2	0.22	0.24	0.19	0.22	0.26	0.18	0.23	0.26	0.2	0.24	0.23	0.22	0.15	0.19	0.15	0.17	0.16	0.19	0.18	0.19	0.17	0.17	0.19	0.2	0.19	0.19	0.21	0.21	0.19	0.24	0.18	0.18	0.2	0.18	0.16	0	0.18	0.19	0.19	0.19	0.22	0.24	0.19	0.19	NA	0.21	0.27	0.25	0.23	0.17	0.27	0.26	0.24	0	0.18	NA	0.18	0.23	0.22	0.21	0.28	0.21	0.26	0.21	0.23	0.21	0.19	0.19	0.17	0.17	0.19	0.21	0.23	0.2	0.19	0.22	0.19	0.22	0.22	0.19	0.17	0.18	0.21	0.22	0.22	0.25	0.22	0.22	0.21	0.19	0.16	0.22	0.15	0.2	0.19	0.23	0.19
PH0919-C	0.22	0.17	0.24	0.24	0.19	0.2	0.21	0.3	0.18	0.18	0.26	0.2	0.21	0.25	0.2	0.12	0.14	0.18	0.16	0.14	0.16	0.19	0.17	0.19	0.18	0.18	0.17	0.2	0.17	0.21	0.23	0.18	0.27	0.15	0.18	0.2	0.19	0.17	0	0.19	0.18	0.19	0.18	0.27	0.25	0.18	0.23	0.18	0.19	0.22	0.22	0.24	0.19	0.21	0.22	0.17	0.19	0.21	0.18	NA	0.21	0.2	0.22	0.24	0.23	0.28	0.21	0.25	0.2	0.19	0.19	0.18	0.16	0.16	0.2	0.28	0.16	0.2	0.19	0.19	0.22	0.22	0.18	0.2	0.16	0.21	0.22	0.22	0.26	0.2	0.25	0.23	0.26	0.16	0.24	0.17	0.18	0.17	0.18	0.18
PH0986-C	0.23	0.16	0.2	0.23	0.19	0.15	0.17	0.27	0.16	0.2	0.27	0.17	0.23	0.19	0.17	0.16	0.19	0.13	0.15	0.18	0.19	0.19	0.16	0.14	0.14	0.15	0.16	0.16	0.17	0.18	0.19	0.16	0.22	0.15	0.17	0.17	0.16	0.14	0	0.17	0.15	0.14	0.17	0.23	0.19	0.21	0.25	0.24	0.18	0.24	0.27	0.22	0.18	0.23	0.21	0.2	0.22	0.23	0.23	0.21	NA	0.25	0.18	0.31	0.17	0.25	0.21	0.22	0.2	0.15	0.18	0.17	0.15	0.16	0.2	0.23	0.16	0.13	0.18	0.18	0.19	0.19	0.2	0.15	0.17	0.15	0.16	0.14	0.24	0.18	0.23	0.25	0.22	0.13	0.21	0.14	0.17	0.18	0.19	0.17
PH0991-C	0.27	0.19	0.25	0.25	0.2	0.19	0.2	0.28	0.19	0.21	0.28	0.24	0.17	0.23	0.21	0.15	0.18	0.14	0.19	0.16	0.18	0.21	0.17	0.14	0.17	0.19	0.16	0.18	0.21	0.22	0.22	0.17	0.24	0.17	0.17	0.22	0.2	0.18	0	0.2	0.17	0.18	0.26	0.2	0.24	0.19	0.21	0.23	0.21	0.27	0.28	0.23	0.16	0.25	0.23	0.22	0.21	0.25	0.22	0.2	0.25	NA	0.21	0.12	0.22	0.25	0.19	0.2	0.22	0.19	0.22	0.16	0.21	0.23	0.24	0.28	0.22	0.19	0.21	0.19	0.22	0.22	0.21	0.18	0.21	0.23	0.25	0.24	0.24	0.25	0.23	0.24	0.17	0.16	0.23	0.17	0.18	0.2	0.22	0.19
PH1000-C	0.23	0.15	0.16	0.2	0.15	0.13	0.17	0.27	0.17	0.14	0.25	0.21	0.19	0.17	0.17	0.12	0.14	0.14	0.14	0.14	0.17	0.18	0.15	0.14	0.15	0.13	0.14	0.14	0.14	0.19	0.18	0.16	0.21	0.13	0.16	0.19	0.13	0.13	0.25	0.18	0.13	0.15	0.18	0.23	0.22	0.15	0.25	0.21	0.19	0.22	0.29	0.22	0.17	0.17	0.21	0.19	0.21	0.17	0.21	0.22	0.18	0.21	NA	0.25	0.18	0.24	0.18	0.2	0.18	0.14	0.16	0.15	0.17	0.16	0.19	0.23	0.14	0.14	0.17	0.16	0.2	0.19	0.19	0.15	0.16	0.18	0.2	0.19	0.23	0.15	0.23	0.25	0.27	0.13	0.18	0.14	0.15	0.16	0.18	0.16
PH1136-C	0.29	0.24	0.26	0.27	0.23	0.24	0.24	0.3	0.23	0.23	0.31	0.24	0.21	0.27	0.24	0.19	0.2	0.19	0.21	0.18	0.2	0.23	0.2	0.18	0.19	0.19	0.21	0.22	0.23	0.25	0.2	0.2	0.26	0.19	0.22	0.23	0.23	0.2	0	0.21	0.18	0.2	0.32	0.24	0.28	0.23	0.22	0.3	0.25	0.26	0.26	0.24	0.18	0.28	0.26	0.22	0.27	0.28	0.28	0.24	0.31	0.12	0.25	NA	0.24	0.28	0.2	0.23	0.25	0.22	0.24	0.2	0.24	0.26	0.24	0.29	0.24	0.21	0.25	0.23	0.26	0.26	0.22	0.22	0.25	0.26	0.27	0.27	0.27	0.25	0.27	0.27	0.18	0.2	0.24	0.19	0.21	0.22	0.25	0.23
PM0071-C	0.28	0.2	0.18	0.25	0.21	0.21	0.27	0.26	0.18	0.15	0.22	0.22	0.2	0.21	0.2	0.21	0.22	0.21	0.2	0.19	0.24	0.22	0.2	0.25	0.25	0.2	0.25	0.2	0.17	0.3	0.24	0.26	0.28	0.2	0.25	0.25	0.24	0.22	0	0.21	0.16	0.21	0.2	0.22	0.2	0.16	0.24	0.21	0.2	0.21	0.23	0.23	0.2	0.2	0.2	0.2	0.21	0.19	0.21	0.23	0.17	0.22	0.18	0.24	NA	0.22	0.25	0.2	0.21	0.22	0.2	0.23	0.21	0.21	0.23	0.27	0.19	0.23	0.21	0.19	0.24	0.29	0.24	0.21	0.2	0.18	0.18	0.17	0.26	0.19	0.24	0.27	0.23	0.18	0.3	0.19	0.25	0.22	0.2	0.27
PR0117-C	0.24	0.2	0.2	0.24	0.23	0.2	0.24	0.28	0.23	0.19	0.3	0.26	0.25	0.24	0.21	0.13	0.22	0.16	0.14	0.16	0.2	0.18	0.18	0.18	0.18	0.16	0.19	0.2	0.19	0.22	0.19	0.21	0.22	0.18	0.22	0.19	0.17	0.13	0	0.18	0.14	0.14	0.23	0.25	0.23	0.18	0.3	0.27	0.25	0.27	0.26	0.27	0.22	0.26	0.26	0.28	0.25	0.25	0.26	0.28	0.25	0.25	0.24	0.28	0.22	NA	0.19	0.23	0.22	0.2	0.2	0.18	0.19	0.17	0.16	0.24	0.22	0.18	0.22	0.22	0.2	0.21	0.18	0.17	0.18	0.25	0.26	0.25	0.24	0.14	0.23	0.29	0.26	0.16	0.23	0.18	0.23	0.14	0.22	0.19
PR0123-C	0.26	0.2	0.16	0.23	0.22	0.22	0.21	0.26	0.2	0.21	0.23	0.22	0.24	0.22	0.22	0.17	0.17	0.11	0.17	0.15	0.13	0.17	0.16	0.15	0.11	0.21	0.16	0.21	0.22	0.21	0.19	0.16	0.23	0.17	0.17	0.17	0.17	0.13	0.5	0.18	0.16	0.13	0.2	0.23	0.16	0.16	0.26	0.22	0.2	0.22	0.22	0.25	0.18	0.23	0.21	0.19	0.23	0.15	0.21	0.21	0.21	0.19	0.18	0.2	0.25	0.19	NA	0.19	0.22	0.19	0.17	0.19	0.19	0.16	0.17	0.25	0.21	0.16	0.19	0.18	0.22	0.18	0.18	0.14	0.18	0.16	0.17	0.16	0.24	0.2	0.26	0.27	0.21	0.18	0.18	0.12	0.15	0.19	0.25	0.18
PR0155-C	0.2	0.15	0.22	0.23	0.19	0.14	0.18	0.2	0.19	0.13	0.26	0.19	0.22	0.22	0.18	0.17	0.12	0.14	0.15	0.15	0.18	0.22	0.16	0.16	0.14	0.14	0.16	0.13	0.2	0.19	0.21	0.19	0.19	0.11	0.2	0.2	0.16	0.18	0	0.13	0.15	0.19	0.25	0.26	0.17	0.17	0.27	0.24	0.23	0.24	0.24	0.22	0.17	0.22	0.18	0.16	0.24	0.18	0.23	0.25	0.22	0.2	0.2	0.23	0.2	0.23	0.19	NA	0.21	0.12	0.19	0.15	0.18	0.16	0.18	0.27	0.16	0.16	0.18	0.17	0.19	0.17	0.19	0.14	0.2	0.19	0.21	0.2	0.25	0.18	0.26	0.25	0.23	0.14	0.21	0.12	0.18	0.14	0.19	0.21
PT0042-C	0.29	0.21	0.26	0.27	0.23	0.22	0.3	0.27	0.18	0.16	0.24	0.24	0.2	0.22	0.23	0.2	0.24	0.22	0.2	0.22	0.24	0.23	0.2	0.22	0.22	0.22	0.23	0.2	0.23	0.31	0.27	0.24	0.32	0.21	0.24	0.28	0.25	0.25	0	0.3	0.18	0.22	0.2	0.22	0.22	0.18	0.25	0.22	0.2	0.22	0.24	0.19	0.18	0.17	0.16	0.18	0.22	0.17	0.21	0.2	0.2	0.22	0.18	0.25	0.21	0.22	0.22	0.21	NA	0.25	0.28	0.22	0.27	0.28	0.28	0.34	0.23	0.27	0.22	0.22	0.23	0.33	0.25	0.24	0.21	0.2	0.2	0.2	0.24	0.18	0.22	0.24	0.26	0.19	0.29	0.22	0.24	0.2	0.25	0.27
PT0067-C	0.27	0.11	0.17	0.2	0.18	0.15	0.23	0.21	0.13	0.09	0.19	0.18	0.17	0.15	0.17	0.21	0.24	0.19	0.13	0.14	0.21	0.22	0.17	0.2	0.14	0.11	0.24	0.11	0.2	0.24	0.23	0.23	0.24	0.08	0.25	0.3	0.25	0.14	0	0.21	0.17	0.18	0.18	0.2	0.16	0.12	0.22	0.2	0.15	0.21	0.24	0.19	0.13	0.15	0.15	0.15	0.2	0.12	0.19	0.19	0.15	0.19	0.14	0.22	0.22	0.2	0.19	0.12	0.25	NA	0.17	0.21	0.26	0.19	0.26	0.23	0.27	0.22	0.17	0.21	0.22	0.21	0.23	0.08	0.19	0.18	0.18	0.16	0.24	0.16	0.24	0.23	0.22	0.11	0.21	0.09	0.23	0.21	0.26	0.23
PT0087-C	0.29	0.18	0.15	0.25	0.23	0.18	0.25	0.22	0.14	0.14	0.22	0.19	0.17	0.16	0.19	0.24	0.22	0.18	0.16	0.16	0.22	0.19	0.22	0.2	0.16	0.21	0.22	0.19	0.2	0.24	0.21	0.22	0.27	0.18	0.27	0.21	0.16	0.16	0	0.23	0.19	0.17	0.17	0.2	0.19	0.14	0.22	0.2	0.18	0.2	0.22	0.2	0.18	0.19	0.18	0.19	0.19	0.14	0.19	0.19	0.18	0.22	0.16	0.24	0.2	0.2	0.17	0.19	0.28	0.17	NA	0.19	0.19	0.18	0.23	0.21	0.15	0.17	0.24	0.17	0.23	0.2	0.28	0.17	0.23	0.16	0.17	0.18	0.22	0.16	0.21	0.21	0.22	0.15	0.19	0.13	0.2	0.19	0.22	0.25
PT0102-C	0.26	0.2	0.19	0.24	0.17	0.21	0.3	0.2	0.15	0.12	0.2	0.2	0.14	0.13	0.21	0.19	0.17	0.19	0.13	0.14	0.17	0.19	0.13	0.13	0.14	0.15	0.17	0.17	0.22	0.24	0.19	0.16	0.24	0.17	0.2	0.23	0.14	0.15	0	0.21	0.18	0.14	0.14	0.17	0.14	0.13	0.22	0.18	0.14	0.19	0.2	0.18	0.18	0.17	0.18	0.16	0.18	0.16	0.17	0.18	0.17	0.16	0.15	0.2	0.23	0.18	0.19	0.15	0.22	0.21	0.19	NA	0.19	0.24	0.23	0.28	0.17	0.2	0.21	0.18	0.18	0.26	0.19	0.17	0.23	0.16	0.16	0.16	0.2	0.13	0.18	0.21	0.22	0.16	0.24	0.13	0.17	0.17	0.25	0.24
PT0111-C	0.33	0.24	0.16	0.25	0.25	0.33	0.35	0.23	0.14	0.11	0.21	0.16	0.18	0.15	0.19	0.2	0.33	0.2	0.12	0.14	0.19	0.18	0.21	0.25	0.14	0.17	0.29	0.21	0.21	0.24	0.21	0.27	0.27	0.17	0.25	0.23	0.17	0.15	0	0.24	0.23	0.12	0.15	0.22	0.17	0.13	0.26	0.18	0.17	0.19	0.22	0.18	0.18	0.18	0.15	0.18	0.18	0.13	0.17	0.16	0.15	0.21	0.17	0.24	0.21	0.19	0.19	0.18	0.27	0.26	0.19	0.19	NA	0.17	0.25	0.26	0.26	0.2	0.22	0.3	0.23	0.28	0.22	0.21	0.18	0.14	0.16	0.14	0.22	0.14	0.22	0.27	0.21	0.11	0.24	0.12	0.29	0.23	0.29	0.22
PT0129-C	0.22	0.2	0.17	0.27	0.23	0.2	0.24	0.22	0.13	0.14	0.18	0.16	0.18	0.17	0.19	0.17	0.18	0.15	0.14	0.1	0.17	0.16	0.18	0.2	0.13	0.2	0.19	0.17	0.22	0.22	0.22	0.19	0.24	0.15	0.22	0.19	0.19	0.15	0	0.19	0.17	0.12	0.17	0.22	0.19	0.15	0.19	0.2	0.18	0.2	0.21	0.18	0.15	0.18	0.19	0.18	0.19	0.15	0.19	0.16	0.16	0.23	0.16	0.26	0.21	0.17	0.16	0.16	0.28	0.19	0.18	0.24	0.17	NA	0.19	0.28	0.19	0.18	0.23	0.2	0.23	0.24	0.24	0.16	0.19	0.17	0.17	0.16	0.24	0.15	0.22	0.25	0.2	0.17	0.24	0.16	0.21	0.18	0.16	0.21
PT0178-C	0.25	0.22	0.2	0.25	0.23	0.27	0.28	0.23	0.16	0.16	0.23	0.21	0.21	0.19	0.22	0.21	0.26	0.19	0.17	0.15	0.18	0.19	0.21	0.27	0.16	0.18	0.27	0.23	0.2	0.25	0.21	0.25	0.27	0.21	0.25	0.21	0.22	0.18	0	0.21	0.18	0.16	0.2	0.24	0.21	0.17	0.2	0.22	0.2	0.22	0.22	0.21	0.19	0.22	0.22	0.21	0.21	0.19	0.21	0.2	0.2	0.24	0.19	0.24	0.23	0.16	0.17	0.18	0.28	0.26	0.23	0.23	0.25	0.19	NA	0.27	0.25	0.25	0.21	0.25	0.23	0.24	0.21	0.21	0.23	0.18	0.19	0.18	0.26	0.15	0.22	0.23	0.22	0.19	0.25	0.19	0.26	0.16	0.18	0.21
PT0187-Cx	0.33	0.26	0.2	0.24	0.28	0.26	0.33	0.28	0.22	0.22	0.29	0.25	0.25	0.24	0.27	0.3	0.3	0.24	0.19	0.2	0.27	0.22	0.27	0.29	0.22	0.25	0.3	0.25	0.24	0.3	0.24	0.32	0.31	0.25	0.3	0.25	0.24	0.23	0	0.29	0.31	0.28	0.25	0.26	0.26	0.2	0.29	0.25	0.26	0.24	0.26	0.29	0.23	0.29	0.27	0.27	0.24	0.21	0.23	0.28	0.23	0.28	0.23	0.29	0.27	0.24	0.25	0.27	0.34	0.23	0.21	0.28	0.26	0.28	0.27	NA	0.28	0.26	0.26	0.28	0.29	0.3	0.26	0.21	0.28	0.23	0.24	0.22	0.3	0.22	0.29	0.29	0.29	0.25	0.23	0.21	0.31	0.28	0.36	0.31
PT0190-Cx	0.25	0.11	0.2	0.22	0.21	0.28	0.25	0.24	0.15	0.12	0.2	0.17	0.2	0.17	0.2	0.18	0.24	0.24	0.14	0.15	0.23	0.22	0.19	0.33	0.15	0.16	0.25	0.22	0.15	0.19	0.23	0.27	0.26	0.06	0.35	0.33	0.24	0.15	NA	0.2	0.15	0.1	0.18	0.22	0.18	0.13	0.22	0.21	0.17	0.22	0.24	0.19	0.16	0.16	0.17	0.17	0.21	0.14	0.2	0.16	0.16	0.22	0.14	0.24	0.19	0.22	0.21	0.16	0.23	0.27	0.15	0.17	0.26	0.19	0.25	0.28	NA	0.27	0.23	0.23	0.2	0.21	0.27	0.21	0.19	0.16	0.17	0.15	0.25	0.17	0.21	0.21	0.25	0.18	0.25	0.14	0.4	0.16	0.24	0.23
PT0193-C	0.3	0.19	0.17	0.23	0.22	0.38	0.38	0.22	0.12	0.11	0.21	0.19	0.17	0.1	0.19	0.2	0.47	0.17	0.12	0.14	0.22	0.21	0.19	0.25	0.07	0.19	0.24	0.22	0.19	0.18	0.22	0.24	0.29	0.15	0.44	0.35	0.22	0.11	NA	0.19	0.22	0.12	0.15	0.21	0.14	0.12	0.2	0.2	0.14	0.21	0.22	0.19	0.17	0.18	0.17	0.19	0.19	0.12	0.19	0.2	0.13	0.19	0.14	0.21	0.23	0.18	0.16	0.16	0.27	0.22	0.17	0.2	0.2	0.18	0.25	0.26	0.27	NA	0.2	0.28	0.25	0.23	0.26	0.19	0.2	0.11	0.13	0.12	0.21	0.16	0.23	0.25	0.2	0.14	0.29	0.12	0.22	0.22	0.28	0.18
PT0204-C	0.28	0.19	0.21	0.22	0.23	0.21	0.22	0.22	0.18	0.14	0.21	0.2	0.2	0.17	0.18	0.21	0.24	0.23	0.2	0.2	0.22	0.23	0.2	0.2	0.16	0.14	0.2	0.19	0.2	0.26	0.24	0.24	0.22	0.17	0.23	0.27	0.23	0.19	0.25	0.19	0.21	0.25	0.2	0.21	0.18	0.18	0.21	0.23	0.2	0.23	0.25	0.21	0.17	0.16	0.17	0.19	0.23	0.19	0.22	0.19	0.18	0.21	0.17	0.25	0.21	0.22	0.19	0.18	0.22	0.17	0.24	0.21	0.22	0.23	0.21	0.26	0.23	0.2	NA	0.26	0.24	0.27	0.24	0.17	0.21	0.18	0.18	0.18	0.26	0.18	0.24	0.25	0.23	0.17	0.24	0.17	0.21	0.23	0.26	0.22
PT0205-Cx	0.29	0.15	0.19	0.22	0.23	0.33	0.33	0.22	0.14	0.12	0.24	0.18	0.18	0.16	0.18	0.15	0.28	0.19	0.14	0.16	0.22	0.22	0.19	0.29	0.13	0.17	0.24	0.26	0.19	0.22	0.21	0.14	0.24	0.08	0.25	0.3	0.24	0.14	0	0.23	0.23	0.1	0.16	0.21	0.15	0.14	0.25	0.2	0.16	0.2	0.23	0.22	0.18	0.13	0.17	0.18	0.19	0.17	0.19	0.19	0.18	0.19	0.16	0.23	0.19	0.22	0.18	0.17	0.22	0.21	0.17	0.18	0.3	0.2	0.25	0.28	0.23	0.28	0.26	NA	0.23	0.18	0.26	0.2	0.22	0.16	0.16	0.17	0.24	0.17	0.24	0.22	0.21	0.12	0.24	0.1	0.16	0.17	0.24	0.23
PT0222-Cx	0.29	0.25	0.2	0.26	0.25	0.24	0.29	0.25	0.22	0.17	0.25	0.22	0.21	0.17	0.23	0.2	0.22	0.22	0.19	0.2	0.22	0.23	0.19	0.23	0.21	0.21	0.22	0.2	0.26	0.29	0.24	0.25	0.27	0.21	0.26	0.25	0.22	0.17	NA	0.21	0.18	0.2	0.21	0.24	0.23	0.17	0.26	0.22	0.21	0.23	0.24	0.23	0.2	0.2	0.22	0.21	0.22	0.2	0.22	0.22	0.19	0.22	0.2	0.26	0.24	0.2	0.22	0.19	0.23	0.22	0.23	0.18	0.23	0.23	0.23	0.29	0.2	0.25	0.24	0.23	NA	0.26	0.19	0.2	0.19	0.2	0.2	0.2	0.26	0.19	0.21	0.25	0.27	0.24	0.24	0.2	0.24	0.14	0.26	0.24
PT0228-Cx	0.29	0.2	0.22	0.21	0.26	0.25	0.28	0.23	0.16	0.15	0.26	0.23	0.18	0.19	0.24	0.19	0.23	0.19	0.19	0.19	0.23	0.25	0.22	0.23	0.17	0.23	0.19	0.22	0.2	0.25	0.23	0.23	0.24	0.1	0.24	0.21	0.28	0.2	0	0.27	0.3	0.17	0.21	0.22	0.17	0.18	0.26	0.23	0.2	0.23	0.21	0.25	0.18	0.2	0.18	0.19	0.23	0.15	0.22	0.22	0.19	0.22	0.19	0.26	0.29	0.21	0.18	0.17	0.33	0.21	0.2	0.26	0.28	0.24	0.24	0.3	0.21	0.23	0.27	0.18	0.26	NA	0.22	0.15	0.25	0.18	0.18	0.17	0.27	0.2	0.28	0.28	0.25	0.16	0.17	0.15	0.19	0.18	0.33	0.28
PT0258-C	0.24	0.25	0.23	0.21	0.24	0.24	0.29	0.22	0.17	0.16	0.21	0.21	0.17	0.19	0.22	0.19	0.23	0.16	0.2	0.18	0.17	0.21	0.2	0.22	0.19	0.19	0.25	0.22	0.26	0.24	0.21	0.22	0.24	0.24	0.25	0.21	0.22	0.2	0	0.24	0.26	0.23	0.19	0.21	0.17	0.16	0.26	0.19	0.19	0.19	0.19	0.17	0.15	0.18	0.16	0.19	0.18	0.15	0.19	0.18	0.2	0.21	0.19	0.22	0.24	0.18	0.18	0.19	0.25	0.23	0.28	0.19	0.22	0.24	0.21	0.26	0.27	0.26	0.24	0.26	0.19	0.22	NA	0.17	0.2	0.2	0.2	0.21	0.24	0.18	0.23	0.23	0.2	0.2	0.26	0.16	0.26	0.2	0.24	0.26
PT0279-Cx	0.27	0.15	0.15	0.16	0.2	0.19	0.26	0.2	0.12	0.11	0.2	0.17	0.16	0.13	0.17	0.17	0.24	0.1	0.14	0.15	0.19	0.18	0.17	0.17	0.08	0.14	0.21	0.13	0.2	0.24	0.19	0.21	0.24	0.12	0.21	0.17	0.2	0.11	NA	0.2	0.19	0.15	0.15	0.17	0.14	0.14	0.23	0.17	0.16	0.18	0.22	0.2	0.15	0.15	0.16	0.16	0.18	0.14	0.17	0.2	0.15	0.18	0.15	0.22	0.21	0.17	0.14	0.14	0.24	0.08	0.17	0.17	0.21	0.16	0.21	0.21	0.21	0.19	0.17	0.2	0.2	0.15	0.17	NA	0.22	0.14	0.15	0.14	0.22	0.15	0.23	0.26	0.2	0.1	0.18	0.09	0.2	0.23	0.26	0.21
PT0303-Cx	0.27	0.2	0.2	0.3	0.21	0.2	0.24	0.23	0.18	0.15	0.19	0.18	0.2	0.16	0.19	0.17	0.19	0.23	0.14	0.16	0.19	0.23	0.21	0.2	0.2	0.21	0.19	0.19	0.21	0.23	0.23	0.21	0.28	0.18	0.22	0.27	0.19	0.15	NA	0.2	0.14	0.15	0.17	0.23	0.2	0.14	0.23	0.19	0.19	0.2	0.22	0.17	0.17	0.17	0.17	0.19	0.19	0.16	0.18	0.16	0.17	0.21	0.16	0.25	0.2	0.18	0.18	0.2	0.21	0.19	0.23	0.23	0.18	0.19	0.23	0.28	0.19	0.2	0.21	0.22	0.19	0.25	0.2	0.22	NA	0.19	0.19	0.18	0.22	0.18	0.21	0.26	0.25	0.16	0.25	0.18	0.2	0.15	0.22	0.24
